Seriation_Number	Assemblage	6290433-195482-3	0-5743483-3	0-5524256-6612528	3-7342081-6589441	0-8306395-3	3-2-5630330	2-2186270-3	3-6130860-4	0-5909510-3	1-2-3224084	5018466-4008915-5605897	2-2186270-2605362	3-2-1772264	3-6074349-4	0-4633653-3	2605777-200991-4124307	3-2-4	5035609-8306395-3	5018466-192050-1553007	5018466-192050-5605897	6293359-2-3	0-2-6612528	6985373-192050-5605897	2605777-200991-3	2-1040221-9155278	303886-1-6589441	0-200991-3	2-8233150-3	3301815-2-0	3301815-8416474-0	3-2-1097000	1-2-0	5018466-192050-3501361	4-4-4703712	3-4890700-2	1-195482-3	1-1354182-8559978	0-2776862-3	0-2-3	2-1040221-3	4-6246654-4703712	4669997-2-0	3-2-5502200	8265585-3-5605897	1-7022586-3	0-8306395-3320686	0-4531276-3	7918018-2-8231550	3855835-2-3	0-6336606-3	8268503-2-4	3-1-5488901	3-2-2801112	8453124-2-0	3-3-8550218	1-2-6043999	1-7826657-3	3-1-6589441	2-1040221-5103772	2-2186270-8899505	8453124-1072530-0	3-2-3326910	1-2-8231550	1-3144409-0	0-8306395-8525846	3-0-1	2875055-2186270-9642726	3-8214520-1772264	5018466-3-5605897	0-5877989-8525846	0-2-3299762
115	assemblage-105-525	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	120	0	0	6	0	0	0	0	0	0	0	0	43	0	0	239	0	0	0	9	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28
115	assemblage-835-586	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	164	0	0	13	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	48	0	0	0	0	10	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	19

116	assemblage-462-472	0	0	0	0	11	0	33	0	0	0	0	38	0	0	0	0	8	0	0	0	13	0	0	0	0	0	0	103	0	0	0	90	0	0	11	89	0	0	80	5	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
116	assemblage-105-525	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	120	0	0	6	0	0	0	0	0	0	0	0	43	0	0	239	0	0	0	9	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28
116	assemblage-671-734	0	0	0	0	49	8	0	0	0	0	0	0	0	0	0	65	216	0	0	11	0	0	0	11	0	0	15	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14

117	assemblage-403-489	0	0	0	0	14	0	27	0	0	0	0	34	0	0	0	0	7	0	0	0	11	0	0	0	0	0	0	113	0	0	0	81	0	0	21	89	0	0	71	9	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
117	assemblage-252-585	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	222	0	0	169	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	9
117	assemblage-239-581	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	236	0	0	147	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	7

118	assemblage-403-489	0	0	0	0	14	0	27	0	0	0	0	34	0	0	0	0	7	0	0	0	11	0	0	0	0	0	0	113	0	0	0	81	0	0	21	89	0	0	71	9	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
118	assemblage-393-512	0	0	0	0	179	0	0	0	0	0	0	26	0	0	0	0	83	0	0	20	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	9	0	0	96	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25
118	assemblage-835-586	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	164	0	0	13	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	48	0	0	0	0	10	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	19

119	assemblage-403-489	0	0	0	0	14	0	27	0	0	0	0	34	0	0	0	0	7	0	0	0	11	0	0	0	0	0	0	113	0	0	0	81	0	0	21	89	0	0	71	9	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
119	assemblage-393-512	0	0	0	0	179	0	0	0	0	0	0	26	0	0	0	0	83	0	0	20	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	9	0	0	96	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25
119	assemblage-671-734	0	0	0	0	49	8	0	0	0	0	0	0	0	0	0	65	216	0	0	11	0	0	0	11	0	0	15	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14

120	assemblage-403-489	0	0	0	0	14	0	27	0	0	0	0	34	0	0	0	0	7	0	0	0	11	0	0	0	0	0	0	113	0	0	0	81	0	0	21	89	0	0	71	9	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
120	assemblage-105-525	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	120	0	0	6	0	0	0	0	0	0	0	0	43	0	0	239	0	0	0	9	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28
120	assemblage-386-638	0	0	0	0	6	0	0	0	0	0	0	0	23	0	0	0	200	0	0	0	0	29	0	0	0	0	0	0	129	12	29	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	30

121	assemblage-403-489	0	0	0	0	14	0	27	0	0	0	0	34	0	0	0	0	7	0	0	0	11	0	0	0	0	0	0	113	0	0	0	81	0	0	21	89	0	0	71	9	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
121	assemblage-105-525	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	120	0	0	6	0	0	0	0	0	0	0	0	43	0	0	239	0	0	0	9	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28
121	assemblage-835-586	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	164	0	0	13	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	48	0	0	0	0	10	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	19

122	assemblage-403-489	0	0	0	0	14	0	27	0	0	0	0	34	0	0	0	0	7	0	0	0	11	0	0	0	0	0	0	113	0	0	0	81	0	0	21	89	0	0	71	9	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
122	assemblage-105-525	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	120	0	0	6	0	0	0	0	0	0	0	0	43	0	0	239	0	0	0	9	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28
122	assemblage-671-734	0	0	0	0	49	8	0	0	0	0	0	0	0	0	0	65	216	0	0	11	0	0	0	11	0	0	15	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14

123	assemblage-168-128	0	0	18	0	131	0	0	0	0	0	0	0	29	0	0	0	67	12	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
123	assemblage-397-507	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	99	0	0	7	0	0	6	0	0	0	0	0	43	0	0	256	0	0	0	7	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23
123	assemblage-610-1007	0	0	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	54	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	9	0	0	0	13

124	assemblage-168-128	0	0	18	0	131	0	0	0	0	0	0	0	29	0	0	0	67	12	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
124	assemblage-386-638	0	0	0	0	6	0	0	0	0	0	0	0	23	0	0	0	200	0	0	0	0	29	0	0	0	0	0	0	129	12	29	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	30
124	assemblage-610-1007	0	0	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	54	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	9	0	0	0	13

125	assemblage-168-128	0	0	18	0	131	0	0	0	0	0	0	0	29	0	0	0	67	12	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
125	assemblage-668-723	0	0	0	0	17	0	0	0	0	0	0	0	139	0	0	0	68	0	0	0	0	0	0	0	0	0	34	0	0	0	0	26	0	0	0	16	31	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	14
125	assemblage-610-1007	0	0	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	54	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	9	0	0	0	13

126	assemblage-168-128	0	0	18	0	131	0	0	0	0	0	0	0	29	0	0	0	67	12	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
126	assemblage-357-802	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	28	0	0	0	0	0	0	0	0	9	0	0	0	239	0	0	54	0	0	0	0	0	0	0	0	0	0	0	36	0	18	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22
126	assemblage-610-1007	0	0	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	54	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	9	0	0	0	13

127	assemblage-168-128	0	0	18	0	131	0	0	0	0	0	0	0	29	0	0	0	67	12	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
127	assemblage-835-586	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	164	0	0	13	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	48	0	0	0	0	10	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	19
127	assemblage-610-1007	0	0	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	54	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	9	0	0	0	13

128	assemblage-168-128	0	0	18	0	131	0	0	0	0	0	0	0	29	0	0	0	67	12	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
128	assemblage-671-734	0	0	0	0	49	8	0	0	0	0	0	0	0	0	0	65	216	0	0	11	0	0	0	11	0	0	15	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
128	assemblage-610-1007	0	0	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	54	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	9	0	0	0	13

129	assemblage-168-128	0	0	18	0	131	0	0	0	0	0	0	0	29	0	0	0	67	12	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
129	assemblage-564-211	0	11	0	0	0	0	0	0	0	0	0	0	84	0	0	12	14	0	0	0	0	77	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27
129	assemblage-610-1007	0	0	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	54	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	9	0	0	0	13

130	assemblage-168-128	0	0	18	0	131	0	0	0	0	0	0	0	29	0	0	0	67	12	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
130	assemblage-393-512	0	0	0	0	179	0	0	0	0	0	0	26	0	0	0	0	83	0	0	20	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	9	0	0	96	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25
130	assemblage-610-1007	0	0	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	54	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	9	0	0	0	13

131	assemblage-168-128	0	0	18	0	131	0	0	0	0	0	0	0	29	0	0	0	67	12	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
131	assemblage-393-512	0	0	0	0	179	0	0	0	0	0	0	26	0	0	0	0	83	0	0	20	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	9	0	0	96	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25
131	assemblage-397-507	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	99	0	0	7	0	0	6	0	0	0	0	0	43	0	0	256	0	0	0	7	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23

132	assemblage-168-128	0	0	18	0	131	0	0	0	0	0	0	0	29	0	0	0	67	12	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
132	assemblage-393-512	0	0	0	0	179	0	0	0	0	0	0	26	0	0	0	0	83	0	0	20	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	9	0	0	96	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25
132	assemblage-357-802	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	28	0	0	0	0	0	0	0	0	9	0	0	0	239	0	0	54	0	0	0	0	0	0	0	0	0	0	0	36	0	18	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22

133	assemblage-168-128	0	0	18	0	131	0	0	0	0	0	0	0	29	0	0	0	67	12	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
133	assemblage-393-512	0	0	0	0	179	0	0	0	0	0	0	26	0	0	0	0	83	0	0	20	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	9	0	0	96	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25
133	assemblage-835-586	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	164	0	0	13	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	48	0	0	0	0	10	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	19

134	assemblage-168-128	0	0	18	0	131	0	0	0	0	0	0	0	29	0	0	0	67	12	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
134	assemblage-393-512	0	0	0	0	179	0	0	0	0	0	0	26	0	0	0	0	83	0	0	20	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	9	0	0	96	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25
134	assemblage-239-581	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	236	0	0	147	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	7

135	assemblage-168-128	0	0	18	0	131	0	0	0	0	0	0	0	29	0	0	0	67	12	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
135	assemblage-393-512	0	0	0	0	179	0	0	0	0	0	0	26	0	0	0	0	83	0	0	20	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	9	0	0	96	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25
135	assemblage-252-585	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	222	0	0	169	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	9

136	assemblage-168-128	0	0	18	0	131	0	0	0	0	0	0	0	29	0	0	0	67	12	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
136	assemblage-393-512	0	0	0	0	179	0	0	0	0	0	0	26	0	0	0	0	83	0	0	20	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	9	0	0	96	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25
136	assemblage-671-734	0	0	0	0	49	8	0	0	0	0	0	0	0	0	0	65	216	0	0	11	0	0	0	11	0	0	15	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14

137	assemblage-168-128	0	0	18	0	131	0	0	0	0	0	0	0	29	0	0	0	67	12	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
137	assemblage-538-369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	2	0	0	0	0	0	163	0	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	8	28
137	assemblage-610-1007	0	0	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	54	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	9	0	0	0	13

138	assemblage-168-128	0	0	18	0	131	0	0	0	0	0	0	0	29	0	0	0	67	12	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
138	assemblage-105-525	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	120	0	0	6	0	0	0	0	0	0	0	0	43	0	0	239	0	0	0	9	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28
138	assemblage-610-1007	0	0	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	54	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	9	0	0	0	13

139	assemblage-168-128	0	0	18	0	131	0	0	0	0	0	0	0	29	0	0	0	67	12	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
139	assemblage-105-525	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	120	0	0	6	0	0	0	0	0	0	0	0	43	0	0	239	0	0	0	9	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28
139	assemblage-397-507	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	99	0	0	7	0	0	6	0	0	0	0	0	43	0	0	256	0	0	0	7	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23

140	assemblage-168-128	0	0	18	0	131	0	0	0	0	0	0	0	29	0	0	0	67	12	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
140	assemblage-105-525	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	120	0	0	6	0	0	0	0	0	0	0	0	43	0	0	239	0	0	0	9	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28
140	assemblage-357-802	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	28	0	0	0	0	0	0	0	0	9	0	0	0	239	0	0	54	0	0	0	0	0	0	0	0	0	0	0	36	0	18	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22

141	assemblage-168-128	0	0	18	0	131	0	0	0	0	0	0	0	29	0	0	0	67	12	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
141	assemblage-105-525	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	120	0	0	6	0	0	0	0	0	0	0	0	43	0	0	239	0	0	0	9	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28
141	assemblage-538-369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	2	0	0	0	0	0	163	0	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	8	28

142	assemblage-168-128	0	0	18	0	131	0	0	0	0	0	0	0	29	0	0	0	67	12	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
142	assemblage-820-776	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	13	0	12	0	0	0	0	21
142	assemblage-610-1007	0	0	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	54	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	9	0	0	0	13

143	assemblage-168-128	0	0	18	0	131	0	0	0	0	0	0	0	29	0	0	0	67	12	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
143	assemblage-389-507	0	0	0	0	315	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	86	0	0	23	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	28
143	assemblage-610-1007	0	0	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	54	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	9	0	0	0	13

144	assemblage-168-128	0	0	18	0	131	0	0	0	0	0	0	0	29	0	0	0	67	12	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
