Assemblage_Name	3-1-5312859	6135230-1-3193124	1-7756896-4	5730132-2-4	7065392-1-1	9858872-1-1	3-1-6031859	8982431-1-3193124	1-1660402-4	3-1-8080982	6828579-1-9866089	3-58484-1	3-9684926-1	3-1-7511393	1-14984-4	1-3092782-4	1536746-1-1	3-1-1239152	3-1-9158122	3-5261471-3193124	5221358-1-1	1-4396378-4	3-1-3193124	2985006-1-1	3-1-4740942	8216654-2-4	3-1-333296	1-2-4453464	4813651-1-1	3-4756844-1	6163360-2-4	3-1-4675364	3-8669860-1	4093524-1-1	3-1664383-1	8424760-1-1	3-6383565-4438605	1-9977886-4	8365023-1-1	5880721-1236939-4438605	1-6604947-4	8252514-2-4	3-5502704-3193124	3-949255-1	3-668327-1	2009364-1-1	3-1-3606035	3-1-498843	1203418-1-1	3-6471747-1	3-1-1061686	3-9051670-1	3-7117058-1	1-9680922-4	8583871-1236939-4438605	3-4774071-3193124	3-1-8263603	3-7914048-1	9332694-2-4	3-1-6338669	1-2-735033	1-7076148-4	3-2589767-4438605	6008190-1-1	7862142-2-4	3616988-2-4	1-7959077-4	3-8914001-1	8814138-1-1	8710738-1236939-4438605	2553497-1-1	3-6921637-1	5285421-1-1	939488-1-1	3-5597651-1	3-1-1663815	3-3416485-1	3-3355670-1	3-9547522-1	3-3236763-1	3-7558618-1	1-2-7743541	7184356-1-1	8342741-1-1	3-1-4437212	3-1-280687	3-2033378-3193124	3-184100-3193124	826030-2-4	3-5517672-3193124	3-1-6436008	3-1-4838589	124242-1-1	3-1330455-1	3-1-5606446	5738395-2-4	5912275-1-1	3-1-7786078	1-493458-4	3-7403198-1	3-9496916-1	3-1-3757525	3-1-1164753	1-2-3288833	1-7776770-4	3-19712-3193124	619285-1-1	1-2-8950346	3-4036143-1	3-1-4023545	3-8008365-1	3-1-713965	3-6593154-1	4518510-1605649-1	1-2-4	3-772671-1	6385188-1-1	8959393-1-1	2892299-2-4	1-94635-4	3-1-7834752	116827-4199598-4438605	5363932-1-1	3-1236939-6013101	3-6813223-1	3-3623464-1	9823408-1-1	1-7471723-4	4694001-1-1	8982194-2-4	3-1-9332992	9976191-1-1	1-2-6948119	3-1-7981836	3-5397200-3193124	1425205-1-3193124	9184114-1-1	2933128-1236939-4438605	3-6415463-1	8606664-1-1	834082-1236939-4438605	1-2130246-4	3-8560240-1	2418370-1-1	2613280-1-1	116827-1236939-4438605	1-324042-4	3-1-6517977	3-2979629-1	1-5022980-4	5011566-2-4	6024890-1-1	1-2-7723322	5612776-1-1	3-5981985-1	3-5148081-1	3532758-2-4	1-2-3028479	1-2-2706477	1-1766944-4	3812183-1-1	3-2859114-3193124	3-9428222-1	3-1-3555208	3-1-2990628	3-1-7710574	3069125-1-1	3-804016-1	7262801-1-1	3718371-2979629-1	1-2-7474844	766549-2-4	3-1-7262350	1-2-1991200	3082786-1-1	3-1-64097	381128-1-1	3-2381967-1	5945401-1-1	3-1491254-3193124	3-1-728461	3-6699889-3193124	8060766-2-4	3-1-8933486	3-892964-1	3-7782302-1	5401193-2-4	306343-1135145-1	3-3320344-1	3-1-5484402	9176117-1-1	6777884-1-1	1-7286226-4	3-1-7594444	3-1-5835057	3-1-8503588	3-5775363-1	3-2196007-1	14817-6731907-1	1367662-1-1	215798-1-1	6144605-1-3193124	9558351-1-1	3-7978848-1	3-1847830-3193124	1539964-1-1	306343-6104513-1	2504640-1-1	163593-1-1	3-4794945-1	7962086-1-1	1139004-1-1	1-2-7942420	8708503-1-3193124	521169-1-3193124	145090-2-4	2439089-1-1	8622916-1-1	7743525-1-1	3-1-8100903	5435281-1-1	3-1-8455866	1-1956323-4	3-1-7058506	3-1-1947995	5768926-2-4	121160-1-1	3-1-882496	3-1-3591326	3-1-4986129	3-9026857-3193124	3-1-9247963	1-9269054-4	8267402-1-3193124	3791277-1-1	3-1-2290403	9813603-2979629-1	1-2397102-4	3-1-5593360	4518510-1-1	1-2-359798	3-1-4795311	3546796-1-3193124	3-1-6418402	1-9888502-4	3-1-9597571	3-1-1629121	1-6894897-4	3-1-2343884	3-6896186-1	3-1-3232474	3-2589767-1	5444222-1-1	1-8458337-4	3-8229715-1	3-4419571-1	3-1-3047733	2563577-1-1	3-1-2562425	14817-1-3604224	1-8079570-4	1-6663607-4	3-1-70422	14817-1-4037942	3-1236939-9438930	1-5455280-4	3-1236939-4438605	8043233-1-1	1-3986018-4	9618381-1236939-4438605	1-2689837-4	1-2-3008521	3-1-1795240	858724-1-1	3-1-1113310	3-1-5629488	306343-2979629-6092336	3-1-3272270	3-451078-4438605	8074938-1-1	1-8264226-4	4702870-1-1	3801208-1-1	3-3313403-1	8710469-1-1	1-2-9153124	3-7992341-4438605	3-5678656-3193124	6385188-3743239-1	3-9328562-1	3-8122226-3193124	1-2-3672402	3-1723276-1	3-8030459-3193124	2780889-1-1	3-5238708-3193124	1-562762-4	306343-4095699-1	4034271-1-3193124	1416320-2589767-4438605	3-5950636-1	164561-1-1	3-1-4427765	3-1-2429721	3-1-3257589	3-1-2278901	3-1-3978929	3-1-1	1-2-7130621	3-1-4707057	9516597-1-3193124	306343-2979629-1793908	4537541-1-1	3-4601671-1	4989389-1-1	4538569-1-1	14817-1-1	3-1-1183731	3-1-5253660	3-1-4242639	14817-1-5922938	3-1-6090814	3-3717546-3193124	3352199-1-1	3-9601477-1	3-1-5156845	3125324-1-3193124	3-1092612-1	6706303-1-1	174381-1-1	6513577-1-1	3-6220772-1	3-4097053-1	1-2-557887	3-1-2154368	3-1-1760773	320388-1-1	3-2188007-1	3-3789514-1	1-2-739743	3-5784496-1	3-1012484-1	3-1-4966213	3-4756389-1	5388379-2-4	3-781849-1	3-5668289-1	3-4090712-1	5851079-2-4	1-3495426-4	3705309-1-1	1-2-9414135	3-7573338-1	3-1-1539939	822724-1-1	3937360-1-1	3-1872006-1	3-1-3533737	2860333-1-1	1432281-1-1	3-6196099-1	3-3335913-1	6647225-1-1	2780889-1-2244196	3-1-3408846	1879450-1-1	3-3377758-1	3-7259475-1	4069250-1-3193124	3-1-527162	3-1-7465277	3-2979629-7506436	3-880131-3193124	6025089-1-3193124	6001940-1-1	3-9460655-3193124	3-1-398597	7476108-2-4	8644917-1-3193124	4913331-1-1	3-1-2884139	6486510-1-3193124	8076195-1-1	3-1-2684032	1-5778650-4	3-1-2100216	3-3914129-3193124	3-1-5738275	3-4668921-3193124	433309-1-1	3-5858961-3193124	3-3160134-1	9624352-1-1	3-2483147-1	2248513-1-1	6023807-1-3193124	4814135-1-1	306343-2979629-3320686	3-782215-1	3-1-8666843	14817-1-6801174	3-1-4972496	1-2-5512537	3-1-6316527	306343-2979629-1	1-2-198578	4490042-1-1	545685-2979629-1	3-1-1359575	3-1-2896538	6828579-1-1	3-1719509-1	3-1519608-3193124	3-3342082-1	14817-5356660-1	12015-2-4	3-9773135-1	2374176-2-4	5612314-1-1	1320257-1-8933486	806596-1-3193124	3-8987549-1	1-989806-4	1646177-1-3193124	7093421-1-1
assemblage-6-14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	6869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	33	0	0	0	0	0	0	0	0	9989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	27	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-29-9	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	4651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11021	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0
assemblage-27-17	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	1	0	0	0	1344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4862	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10855	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	196	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0
assemblage-49-6	0	3	2	6	0	1	2	0	64	11	0	1	0	69	0	0	5	0	0	0	0	0	15211	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	3	4	0	0	0	0	1	0	0	63	0	0	0	8	0	2	0	17	0	262	0	12	2	0	0	1	14	0	1	0	0	0	0	1	0	2	5	0	0	0	0	0	87	0	0	8	0	0	0	10	0	0	0	0	0	1	18	1	0	0	5	0	2	1	0	0	0	0	0	0	0	20003	0	62	0	1	1	0	1	0	8	1	1	0	0	0	4	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	153	2	0	704	0	0	0	0	0	0	10	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	84	1	2	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	11	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	167	0	0	0	0	6	0	0	0	0	339	0	3	0	1	0	0	0	0	10	0	0	952	4	0	1	0	0	0	0	0	0	0	0	0	0	0	3863	0	0	1	0	0	0	18	0	0	0	0	0	0	0	0	0	1	6	0	0	0	1	0	0	0	13	0	233	0	0	0	2	0	5	0	0	0	0	0	1	63794	0	0	0	0	0	0	0	0	3476	0	0	0	0	6	0	0	0	0	2	1	0	0	0	0	36	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	12	0	0	16	1	0	0	1	0	0	2	0	0	7	0	0	0	5	0	0	0	0	0	0	0	49	0	0	30	4	0	129	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2253	0	0	0	6	0	32	0	0	0	0	0	0	0	0	1	0	0	0	55	0
assemblage-5-7	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206	0	14	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	11862	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	6	940	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1320	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22979	0	0	0	0	0	0	0	0	3221	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	34	15	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	1	0	2	0	0	20	1	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	2014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-14-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4416	0	0	0	0	0	0	2	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	14897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-17-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	7141	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	8	0	3	0	0	0	0	0	0	9711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	1	15	0	0	0	0	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	11	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-48-9	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	2	1630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3247	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4991	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-28-18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	7384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	24	0	0	0	0	0	2	0	0	0	0	0	0	0	0	519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	11	0	0	0	0	0	0	0	0	9627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	45	0	0	0	0	0	7	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	11	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-14-2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	10	0	0	0	0	0	4148	0	0	0	0	0	0	0	0	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	4	0	0	0	0	0	0	95	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260	0	0	0	0	0	0	0	0	0	0	0	0	14998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	24	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
assemblage-30-5	0	0	0	0	0	0	0	0	0	0	0	0	0	17	1	0	0	0	0	0	0	0	1465	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4447	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	953	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11148	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0
assemblage-42-15	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	1722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2906	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
